"FREQ";"GEO";"GEO_OBJECT";"LEGAL_FORM";"SIDE_MEASURE";"TIME_PERIOD";"OBS_VALUE"
"A";"76";"REG";"OTH_SIDE";"BURE";2021;1360
"A";"85";"DEP";"54";"BURE";2018;796
"A";"75";"DEP";"ENTIND_X_MICRO";"BURE";2021;7223
"A";"01";"REG";"MICRO";"BURE";2019;1866
"A";"70";"DEP";"54";"BURE";2020;126
"A";"50";"DEP";"OTH_SIDE";"BURE";2021;94
"A";"15";"DEP";"OTH_SIDE";"BURE";2020;12
"A";"07";"DEP";"OTH_SIDE";"BURE";2021;33
"A";"67";"DEP";"54";"BURE";2017;1141
"A";"33";"DEP";"ENTIND_X_MICRO";"BURE";2016;3730
"A";"24";"DEP";"ENTIND_X_MICRO";"BURE";2016;628
"A";"27";"REG";"ENTIND_X_MICRO";"BURE";2018;7044
"A";"16";"DEP";"57";"BURE";2017;263
"A";"02";"REG";"57";"BURE";2018;985
"A";"82";"DEP";"MICRO";"BURE";2017;907
"A";"02";"DEP";"MICRO";"BURE";2018;1545
"A";"80";"DEP";"OTH_SIDE";"BURE";2015;109
"A";"55";"DEP";"OTH_SIDE";"BURE";2018;7
"A";"73";"DEP";"57";"BURE";2018;635
"A";"30";"DEP";"54";"BURE";2017;804
"A";"01";"REG";"ENTIND_X_MICRO";"BURE";2024;651
"A";"27";"DEP";"_T";"BURE";2012;3875
"A";"27";"DEP";"OTH_SIDE";"BURE";2023;129
"A";"2B";"DEP";"57";"BURE";2022;612
"A";"34";"DEP";"54";"BURE";2023;1648
"A";"10";"DEP";"ENTIND_X_MICRO";"BURE";2023;473
"A";"81";"DEP";"54";"BURE";2022;411
"A";"40";"DEP";"_T";"BURE";2013;3597
"A";"22";"DEP";"MICRO";"BURE";2023;3900
"A";"53";"DEP";"57";"BURE";2024;368
"A";"72";"DEP";"OTH_SIDE";"BURE";2023;73
"A";"09";"DEP";"54";"BURE";2024;127
"A";"09";"DEP";"57";"BURE";2012;53
"A";"57";"DEP";"OTH_SIDE";"BURE";2012;94
"A";"87";"DEP";"54";"BURE";2013;396
"A";"2B";"DEP";"57";"BURE";2013;150
"A";"77";"DEP";"57";"BURE";2013;984
"A";"64";"DEP";"MICRO";"BURE";2014;2765
"A";"09";"DEP";"MICRO";"BURE";2014;901
"A";"69";"DEP";"MICRO";"BURE";2013;8715
"A";"44";"DEP";"MICRO";"BURE";2012;5835
"A";"01";"DEP";"57";"BURE";2013;329
"A";"28";"DEP";"ENTIND_X_MICRO";"BURE";2012;695
"A";"90";"DEP";"MICRO";"BURE";2014;393
"A";"973";"DEP";"MICRO";"BURE";2016;563
"A";"69";"DEP";"OTH_SIDE";"BURE";2017;688
"A";"02";"REG";"OTH_SIDE";"BURE";2018;1894
"A";"70";"DEP";"57";"BURE";2016;106
"A";"44";"DEP";"MICRO";"BURE";2018;7651
"A";"55";"DEP";"ENTIND_X_MICRO";"BURE";2017;354
"A";"976";"DEP";"OTH_SIDE";"BURE";2016;9
"A";"71";"DEP";"MICRO";"BURE";2016;1532
"A";"56";"DEP";"MICRO";"BURE";2015;2472
"A";"63";"DEP";"OTH_SIDE";"BURE";2016;73
"A";"62";"DEP";"57";"BURE";2016;1014
"A";"58";"DEP";"OTH_SIDE";"BURE";2016;23
"A";"59";"DEP";"ENTIND_X_MICRO";"BURE";2022;3915
"A";"84";"REG";"ENTIND_X_MICRO";"BURE";2023;13185
"A";"70";"DEP";"57";"BURE";2023;218
"A";"24";"REG";"57";"BURE";2022;4242
"A";"72";"DEP";"MICRO";"BURE";2024;3956
"A";"53";"DEP";"OTH_SIDE";"BURE";2023;228
"A";"38";"DEP";"57";"BURE";2023;2445
"A";"86";"DEP";"MICRO";"BURE";2022;3264
"A";"11";"REG";"MICRO";"BURE";2024;193604
"A";"85";"DEP";"57";"BURE";2024;1032
"A";"67";"DEP";"ENTIND_X_MICRO";"BURE";2024;1950
"A";"11";"REG";"MICRO";"BURE";2022;170780
"A";"75";"REG";"_T";"BURE";2018;64240
"A";"2A";"DEP";"_T";"BURE";2015;1945
"A";"93";"DEP";"_T";"BURE";2022;38726
"A";"53";"REG";"_T";"BURE";2015;21567
"A";"85";"DEP";"_T";"BURE";2023;7657
"A";"33";"DEP";"_T";"BURE";2018;24708
"A";"24";"DEP";"_T";"BURE";2020;4671
"A";"23";"DEP";"_T";"BURE";2021;985
"A";"78";"DEP";"_T";"BURE";2023;25274
"A";"89";"DEP";"_T";"BURE";2015;2110
"A";"971";"DEP";"_T";"BURE";2016;4220
"A";"27";"DEP";"_T";"BURE";2022;6626
"A";"78";"DEP";"MICRO";"BURE";2019;13616
"A";"53";"REG";"MICRO";"BURE";2020;16686
"A";"46";"DEP";"ENTIND_X_MICRO";"BURE";2020;330
"A";"83";"DEP";"54";"BURE";2021;1274
"A";"74";"DEP";"MICRO";"BURE";2021;8307
"A";"09";"DEP";"ENTIND_X_MICRO";"BURE";2021;302
