creations_per_1000,Taux de chômage par région,chomage_carre,Pourcentage_diplomes_superieur,variation_population_pourcentage,SALAIRE,TIME_PERIOD,region_nom
13.6,7.1,50.41,18.03,0.44,30858.0,2020,Auvergne-Rhône-Alpes
15.31,6.925,47.955625,18.03,0.44,28783.0,2021,Auvergne-Rhône-Alpes
15.31,6.925,47.955625,18.03,0.44,25872.0,2021,Auvergne-Rhône-Alpes
15.31,6.925,47.955625,18.03,0.44,30806.0,2021,Auvergne-Rhône-Alpes
15.39,6.225,38.75062499999999,18.03,0.61,29947.0,2022,Auvergne-Rhône-Alpes
15.39,6.225,38.75062499999999,18.03,0.61,27036.0,2022,Auvergne-Rhône-Alpes
15.39,6.225,38.75062499999999,18.03,0.61,32006.0,2022,Auvergne-Rhône-Alpes
14.74,6.275,39.37562500000001,18.03,0.4,31095.0,2023,Auvergne-Rhône-Alpes
14.74,6.275,39.37562500000001,18.03,0.4,28223.0,2023,Auvergne-Rhône-Alpes
14.74,6.275,39.37562500000001,18.03,0.4,33140.0,2023,Auvergne-Rhône-Alpes
11.6,10.425,108.68062500000002,12.53,0.95,23137.0,2015,Corse
11.6,10.425,108.68062500000002,12.53,0.95,21032.0,2015,Corse
11.6,10.425,108.68062500000002,12.53,0.95,24669.0,2015,Corse
12.16,10.0,100.0,12.53,0.97,23474.0,2016,Corse
12.16,10.0,100.0,12.53,0.97,21322.0,2016,Corse
12.16,10.0,100.0,12.53,0.97,25058.0,2016,Corse
12.78,9.425,88.83062500000001,12.53,1.36,23902.0,2017,Corse
12.78,9.425,88.83062500000001,12.53,1.36,21803.0,2017,Corse
12.78,9.425,88.83062500000001,12.53,1.36,25476.0,2017,Corse
13.62,8.8,77.44000000000001,12.53,1.08,24186.0,2018,Corse
13.62,8.8,77.44000000000001,12.53,1.08,22245.0,2018,Corse
13.62,8.8,77.44000000000001,12.53,1.08,25649.0,2018,Corse
15.35,8.075,65.20562499999998,12.53,0.56,24793.0,2019,Corse
15.35,8.075,65.20562499999998,12.53,0.56,22812.0,2019,Corse
15.35,8.075,65.20562499999998,12.53,0.56,26288.0,2019,Corse
14.39,7.85,61.622499999999995,12.53,0.96,25777.0,2020,Corse
14.39,7.85,61.622499999999995,12.53,0.96,23812.0,2020,Corse
14.39,7.85,61.622499999999995,12.53,0.96,27237.0,2020,Corse
16.73,6.725,45.225624999999994,12.53,1.13,25845.0,2021,Corse
16.73,6.725,45.225624999999994,12.53,1.13,23955.0,2021,Corse
16.73,6.725,45.225624999999994,12.53,1.13,27267.0,2021,Corse
17.33,6.1,37.209999999999994,12.53,1.06,26882.0,2022,Corse
17.33,6.1,37.209999999999994,12.53,1.06,24921.0,2022,Corse
17.33,6.1,37.209999999999994,12.53,1.06,28393.0,2022,Corse
17.47,6.375,40.640625,12.53,0.85,27757.0,2023,Corse
17.47,6.375,40.640625,12.53,0.85,25905.0,2023,Corse
17.47,6.375,40.640625,12.53,0.85,29192.0,2023,Corse
